severity,type,name,pipe,branch,line,issue
warning,PSLIST,-,/100-B-1,/100-B-1/B3,697,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1-PS01,/100-B-1,/100-B-1/B3,699,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1-PS02,/100-B-1,/100-B-1/B3,703,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1-PS03,/100-B-1,/100-B-1/B3,707,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1-PS04,/100-B-1,/100-B-1/B3,711,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1-PS05,/100-B-1,/100-B-1/B3,715,missing position; unset SHOP; missing spec/reference
warning,PPLIST,-,/100-B-1,/100-B-1/B3,720,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,722,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,727,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,732,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,737,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,742,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,747,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,752,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,757,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,762,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,767,missing position; unset SHOP; missing spec/reference
warning,PPLIST,-,/100-B-1,/100-B-1/B3,773,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,775,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,781,missing position; unset SHOP; missing spec/reference
warning,PPLIST,-,/100-B-1,/100-B-1/B3,788,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1,/100-B-1/B3,790,missing position; unset SHOP; missing spec/reference
warning,PSLIST,-,/100-B-1A,/100-B-1A/B2,1201,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1A-PS01,/100-B-1A,/100-B-1A/B2,1203,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1A-PS02,/100-B-1A,/100-B-1A/B2,1208,missing position; unset SHOP; missing spec/reference
warning,PSPOOL,/100-B-1A-PS03,/100-B-1A,/100-B-1A/B2,1213,missing position; unset SHOP; missing spec/reference
warning,PPLIST,-,/100-B-1A,/100-B-1A/B2,1219,missing position; unset SHOP; missing spec/reference
warning,PPIECE,-,/100-B-1A,/100-B-1A/B2,1221,missing position; unset SHOP; missing spec/reference
