pipe,branch,line,bore,spec,components,named,shopTrue,shopFalse,routeLengthMm,shopRatio,fieldRatio
/100-C-12,/100-C-12/B1,7368,100,/F1C,65,34,47,17,20247.89184088062,72,26
/50-B-9,/50-B-9/B1,5832,50,/A3B,46,6,27,19,21478.024350484382,59,41
/100-C-12,/100-C-12/B4,8704,20,/F1C,46,16,8,1,309.92759638342574,17,2
/100-B-8,/100-B-8/B6,5519,50,/A3B,41,13,8,1,586.3475188827705,20,2
/100-B-1,/100-B-1/B1,34,100,/A3B,36,4,23,13,14761.411707556974,64,36
/100-B-8,/100-B-8/B1,4533,100,/A3B,35,16,24,11,6244.922257322344,69,31
/100-B-1,/100-B-1/B3,644,20,/A3B,24,6,0,2,190.13000000000466,0,8
/100-B-2,/100-B-2/B6,2443,50,/A1A,24,6,1,1,532.9580310868682,4,4
/100-B-2,/100-B-2/B1,1803,100,/A3B,23,3,14,9,2158.928310643989,61,39
/50-FW-207,/50-FW-207/B1,14879,100,/FIRE,23,0,0,23,16401.649185371574,0,100
/50-FW-208,/50-FW-208/B1,16231,100,/FIRE,23,0,0,23,16401.649185371574,0,100
/100-B-1A,/100-B-1A/B1,816,50,/A3B,22,2,13,9,5577.748812280808,59,41
/100-B-1B,/100-B-1B/B1,1307,50,/A3B,22,2,13,9,5546.849934872948,59,41
/80-B-14,/80-B-14/B1,9278,80,/A3B,22,3,13,9,2225.3209706691887,59,41
/250-B-5,/250-B-5/B4,3992,25,/A3B,21,3,3,1,180.98000000001048,14,5
/50-B-321,/50-B-321/B1,20609,50,/A3B,21,1,11,2,6358.519170506593,52,10
/50-B-322,/50-B-322/B1,20872,50,/A3B,20,1,10,2,6349.707051644184,50,10
/100-B-8,/100-B-8/B2,5056,100,/A3B,19,7,11,8,976.472044095462,58,42
/200-B-4,/200-B-4/B3,3399,50,/A3B,18,4,1,1,387.77999999996973,6,6
/40-B-10,/40-B-10/B1,6808,40,/A3B,18,3,13,5,13063.013656982073,72,28
/200-A-40,/200-A-40/B1,12600,200,/A1A,18,1,14,4,20295.56396337139,78,22
/200-B-4,/200-B-4/B1,2861,200,/A3B,17,7,13,4,3496.667699396098,76,24
/200-B-4,/200-B-4/B2,3146,50,/A3B,16,11,15,1,1059.9218511286747,94,6
/100-LAYOUT300-305,/100-LAYOUT300-305/B1,18376,100,/LAYOUT300,15,0,13,2,8043.396188799853,87,13
/100-B-1A,/100-B-1A/B2,1157,20,/A3B,14,4,0,1,190.1299999999901,0,7
/100-B-1B,/100-B-1B/B2,1652,20,/A3B,14,4,0,1,190.1299999999901,0,7
/100-LAYOUT300-304,/100-LAYOUT300-304/B1,18139,100,/LAYOUT300,14,0,12,2,11394.39433449624,86,14
/100-LAYOUT300-307,/100-LAYOUT300-307/B1,18843,100,/LAYOUT300,14,0,12,2,10848.93082289679,86,14
/100-F-323,/100-F-323/B1,21120,100,/F1C,14,0,14,0,22750.101340928133,100,0
/100-F-324,/100-F-324/B1,21357,100,/F1C,14,0,14,0,22149.189850251863,100,0
/250-B-5,/250-B-5/B1,3591,200,/A3B,13,0,7,4,4019.082606764882,54,31
/150-B-39,/150-B-39/B2,12286,150,/A3B,13,2,8,5,4078.0133399119504,62,38
/100-LAYOUT300-306,/100-LAYOUT300-306/B1,18623,100,/LAYOUT300,13,0,11,2,11429.317564929239,85,15
/100-C-12,/100-C-12/B2,8427,80,/F1C,12,7,9,3,1913.8967628636813,75,25
/100-LAYOUT300-303,/100-LAYOUT300-303/B1,17931,100,/LAYOUT300,12,0,10,2,12167.104903307922,83,17
/150-B-6,/150-B-6/B1,4213,150,/A3B,11,0,9,2,14286.130511793599,82,18
/50-B-9,/50-B-9/B2,6444,50,/A3B,11,2,5,6,2279.0617038597265,45,55
/150-B-58,/150-B-58/B1,13443,150,/A3B,11,1,4,7,830.2700000000041,36,64
/150-B-59,/150-B-59/B1,13669,150,/A3B,11,1,4,7,929.5,36,64
/100-B-328,/100-B-328/B1,21909,150,/A150,11,0,6,5,3000,55,45
/100-B-17,/100-B-17/B1,10008,100,/A3B,10,1,6,4,833.073809034965,60,40
/200-FW-203,/200-FW-203/B1,14152,300,/A3B,10,0,8,2,14341.09926431723,80,20
/300-B-342,/300-B-342/B1,22235,300,/A3B,10,4,0,0,15027.597906205741,0,0
/150-B-39,/150-B-39/B1,12146,150,/A3B,9,2,4,5,2953.1048953432,44,56
/200-A-41,/200-A-41/B1,12940,200,/A1A,9,1,5,4,2906.118619826102,56,44
/100-LAYOUT300-301,/100-LAYOUT300-301/B1,17592,100,/LAYOUT300,9,0,7,2,8219.970270019236,78,22
/100-LAYOUT300-302,/100-LAYOUT300-302/B1,17762,100,/LAYOUT300,9,0,7,2,7662.311987905478,78,22
/100-B-315,/100-A3B-315/B1,19921,100,/A3B,9,0,6,3,16075.789907808574,67,33
/100-B-328,/100-B-328/B2,22078,150,/A150,9,0,6,3,11469.283142393831,67,33
/80-B-7,/80-B-7/B1,4404,80,/A3B,8,1,2,2,1405,25,25
/80-A-11,/80-A-11/B1,7167,80,/A1A,8,0,7,1,12267.022581804422,88,13
/100-C-13,/100-C-13/B1,9123,100,/F1C,8,0,6,1,20149.88347360848,75,13
/150-A-19,/150-A-19/B1,10398,150,/F1C,8,0,7,1,18468.61946689847,88,13
/150-A-3,/150-A-3/B1,2667,100,/A1A,7,0,6,1,15045.438645998322,86,14
/100-A-15,/100-A-15/B1,9747,100,/A1A,7,0,6,1,15733.618833593251,86,14
/100-A-20,/100-D-20/B1,10544,100,/A1A,7,0,7,0,27396.8045581962,100,0
/100-FW-204,/100-FW-204/B1,14423,100,/FIRE,7,0,0,7,16372.127564858516,0,100
/50-FW-206,/50-FW-206/B1,14746,100,/FIRE,7,0,0,7,34085.479254368714,0,100
/100-LAYOUT300-317,/100-LAYOUT300-317/B1,20218,100,/LAYOUT300,7,0,6,1,11340.04767009381,86,14
/100-B-16,/100-B-16/B1,9886,100,/A3B,6,1,3,3,591.0491911846128,50,50
/150-A-57,/150-A-57/B1,13227,150,/A1A,6,0,5,1,7076.037750747237,83,17
/100-FW-201,/100-FW-201/B1,13906,100,/FIRE,6,0,0,6,16372.127564858516,0,100
/100-FW-202,/100-FW-202/B1,14029,100,/FIRE,6,0,0,6,16372.127564858516,0,100
/200-FW-203,/200-FW-203/B2,14304,200,/A3B,6,0,5,1,7135.858532790571,83,17
/100-FW-205,/100-FW-205/B1,14623,100,/FIRE,6,0,0,6,16372.127564858516,0,100
/100-LAYOUT300-312,/100-LAYOUT300-312/B1,19537,100,/LAYOUT300,6,0,5,1,3631.0257265681844,83,17
/100-LAYOUT300-313,/100-LAYOUT300-313/B1,19665,100,/LAYOUT300,6,0,5,1,3631.0274054322454,83,17
/100-LAYOUT300-314,/100-LAYOUT300-314/B1,19793,100,/LAYOUT300,6,0,5,1,3631.0257265681844,83,17
/100-LAYOUT300-316,/100-LAYOUT300-316/B1,20089,100,/LAYOUT300,6,0,5,1,13672.546257372838,83,17
/100-B-1,/100-B-1/B2,549,80,/A3B,5,1,2,3,1552.4799999999814,40,60
/100-B-2,/100-B-2/B2,2164,100,/A3B,5,1,3,2,556.2763152426866,60,40
/250-B-5,/250-B-5/B2,3807,200,/A3B,5,0,4,1,3611.005650784819,80,20
/100-B-17,/100-B-17/B2,10167,100,/A3B,5,2,1,4,599.2989105613397,20,80
/100-A-18,/100-A-18/B1,10276,100,/A1A,5,0,5,0,15934.825647731437,100,0
/20-A-38,/20-A-38/B1,12039,20,/A1A,5,0,5,0,7852.236262326806,100,0
/100-LAYOUT300-309,/100-LAYOUT300-309/B1,19221,100,/LAYOUT300,5,0,4,1,3113.067288543575,80,20
/100-LAYOUT300-310,/100-LAYOUT300-310/B1,19336,100,/LAYOUT300,5,0,4,1,3155.549931485793,80,20
/100-B-8,/100-B-8/B5,5437,50,/A3B,4,3,3,1,782.5,75,25
/80-B-14,/80-B-14/B2,9594,50,/A3B,4,1,2,2,1597.4644234222985,50,50
