pipe,branch,line,bore,spec,components,named,shopTrue,shopFalse,routeLengthMm
/100-C-12,/100-C-12/B1,7368,100,/F1C,65,34,47,17,20247.89184088062
/50-B-9,/50-B-9/B1,5832,50,/A3B,46,6,27,19,21478.024350484382
/100-C-12,/100-C-12/B4,8704,20,/F1C,46,16,8,1,309.92759638342574
/100-B-8,/100-B-8/B6,5519,50,/A3B,41,13,8,1,586.3475188827705
/100-B-1,/100-B-1/B1,34,100,/A3B,36,4,23,13,14761.411707556974
/100-B-8,/100-B-8/B1,4533,100,/A3B,35,16,24,11,6244.922257322344
/100-B-1,/100-B-1/B3,644,20,/A3B,24,6,0,2,190.13000000000466
/100-B-2,/100-B-2/B6,2443,50,/A1A,24,6,1,1,532.9580310868682
/100-B-2,/100-B-2/B1,1803,100,/A3B,23,3,14,9,2158.928310643989
/50-FW-207,/50-FW-207/B1,14879,100,/FIRE,23,0,0,23,16401.649185371574
/50-FW-208,/50-FW-208/B1,16231,100,/FIRE,23,0,0,23,16401.649185371574
/100-B-1A,/100-B-1A/B1,816,50,/A3B,22,2,13,9,5577.748812280808
/100-B-1B,/100-B-1B/B1,1307,50,/A3B,22,2,13,9,5546.849934872948
/80-B-14,/80-B-14/B1,9278,80,/A3B,22,3,13,9,2225.3209706691887
/250-B-5,/250-B-5/B4,3992,25,/A3B,21,3,3,1,180.98000000001048
/50-B-321,/50-B-321/B1,20609,50,/A3B,21,1,11,2,6358.519170506593
/50-B-322,/50-B-322/B1,20872,50,/A3B,20,1,10,2,6349.707051644184
/100-B-8,/100-B-8/B2,5056,100,/A3B,19,7,11,8,976.472044095462
/200-B-4,/200-B-4/B3,3399,50,/A3B,18,4,1,1,387.77999999996973
/40-B-10,/40-B-10/B1,6808,40,/A3B,18,3,13,5,13063.013656982073
/200-A-40,/200-A-40/B1,12600,200,/A1A,18,1,14,4,20295.56396337139
/200-B-4,/200-B-4/B1,2861,200,/A3B,17,7,13,4,3496.667699396098
/200-B-4,/200-B-4/B2,3146,50,/A3B,16,11,15,1,1059.9218511286747
/100-LAYOUT300-305,/100-LAYOUT300-305/B1,18376,100,/LAYOUT300,15,0,13,2,8043.396188799853
/100-B-1A,/100-B-1A/B2,1157,20,/A3B,14,4,0,1,190.1299999999901
/100-B-1B,/100-B-1B/B2,1652,20,/A3B,14,4,0,1,190.1299999999901
/100-LAYOUT300-304,/100-LAYOUT300-304/B1,18139,100,/LAYOUT300,14,0,12,2,11394.39433449624
/100-LAYOUT300-307,/100-LAYOUT300-307/B1,18843,100,/LAYOUT300,14,0,12,2,10848.93082289679
/100-F-323,/100-F-323/B1,21120,100,/F1C,14,0,14,0,22750.101340928133
/100-F-324,/100-F-324/B1,21357,100,/F1C,14,0,14,0,22149.189850251863
/250-B-5,/250-B-5/B1,3591,200,/A3B,13,0,7,4,4019.082606764882
/150-B-39,/150-B-39/B2,12286,150,/A3B,13,2,8,5,4078.0133399119504
/100-LAYOUT300-306,/100-LAYOUT300-306/B1,18623,100,/LAYOUT300,13,0,11,2,11429.317564929239
/100-C-12,/100-C-12/B2,8427,80,/F1C,12,7,9,3,1913.8967628636813
/100-LAYOUT300-303,/100-LAYOUT300-303/B1,17931,100,/LAYOUT300,12,0,10,2,12167.104903307922
/150-B-6,/150-B-6/B1,4213,150,/A3B,11,0,9,2,14286.130511793599
/50-B-9,/50-B-9/B2,6444,50,/A3B,11,2,5,6,2279.0617038597265
/150-B-58,/150-B-58/B1,13443,150,/A3B,11,1,4,7,830.2700000000041
/150-B-59,/150-B-59/B1,13669,150,/A3B,11,1,4,7,929.5
/100-B-328,/100-B-328/B1,21909,150,/A150,11,0,6,5,3000
