pipe,branch,line,bore,spec,components,named,shopTrue,shopFalse,routeLengthMm
/100-C-12,/100-C-12/B1,7368,100,/F1C,65,34,47,17,20247.89184088062
/50-B-9,/50-B-9/B1,5832,50,/A3B,46,6,27,19,21478.024350484382
/100-C-12,/100-C-12/B4,8704,20,/F1C,46,16,8,1,309.92759638342574
/100-B-8,/100-B-8/B6,5519,50,/A3B,41,13,8,1,586.3475188827705
/100-B-1,/100-B-1/B1,34,100,/A3B,36,4,23,13,14761.411707556974
/100-B-8,/100-B-8/B1,4533,100,/A3B,35,16,24,11,6244.922257322344
/100-B-1,/100-B-1/B3,644,20,/A3B,24,6,0,2,190.13000000000466
/100-B-2,/100-B-2/B6,2443,50,/A1A,24,6,1,1,532.9580310868682
/100-B-2,/100-B-2/B1,1803,100,/A3B,23,3,14,9,2158.928310643989
/50-FW-207,/50-FW-207/B1,14879,100,/FIRE,23,0,0,23,16401.649185371574
/50-FW-208,/50-FW-208/B1,16231,100,/FIRE,23,0,0,23,16401.649185371574
/100-B-1A,/100-B-1A/B1,816,50,/A3B,22,2,13,9,5577.748812280808
/100-B-1B,/100-B-1B/B1,1307,50,/A3B,22,2,13,9,5546.849934872948
/80-B-14,/80-B-14/B1,9278,80,/A3B,22,3,13,9,2225.3209706691887
/250-B-5,/250-B-5/B4,3992,25,/A3B,21,3,3,1,180.98000000001048
/50-B-321,/50-B-321/B1,20609,50,/A3B,21,1,11,2,6358.519170506593
/50-B-322,/50-B-322/B1,20872,50,/A3B,20,1,10,2,6349.707051644184
/100-B-8,/100-B-8/B2,5056,100,/A3B,19,7,11,8,976.472044095462
/200-B-4,/200-B-4/B3,3399,50,/A3B,18,4,1,1,387.77999999996973
/40-B-10,/40-B-10/B1,6808,40,/A3B,18,3,13,5,13063.013656982073
/200-A-40,/200-A-40/B1,12600,200,/A1A,18,1,14,4,20295.56396337139
